shift,nps,strategy,safety,plasticity,stability,throughput,disturb_input,disturb_hidden_1,disturb_hidden_2,disturb_output,buffer_suggested,buffer_factor
1.0634,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.8717,0.7402,1.0,1.0,190,1.9
0.6703,0.077,High-Speed Parallel,low,0.9,0.25,0.95,0.5215,0.4243,0.0888,0.0046,100,1.0
1.1686,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.9073,1.0,1.0,1.0,190,1.9
0.0721,0.2184,High-Speed Parallel,low,0.9,0.25,0.95,0.9598,0.6859,0.4152,0.0197,100,1.0
1.5421,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,0.9355,0.9274,1.0,190,1.9
0.5076,0.431,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,0.7326,0.4216,0.0177,100,1.0
0.5733,0.2761,High-Speed Parallel,low,0.9,0.25,0.95,0.9398,1.0,0.2298,0.0498,100,1.0
1.3076,0.2289,High-Speed Parallel,low,0.9,0.25,0.95,1.0,1.0,0.6662,0.0078,100,1.0
1.0241,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,1.0,1.0,1.0,190,1.9
1.343,0.8371,Buffered Linear Ingestion,high,0.25,0.95,0.3,1.0,0.9625,0.6813,0.3159,141,1.41
1.2945,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.8391,0.8828,1.0,1.0,190,1.9
0.5042,1.0,Buffered Linear Ingestion,high,0.25,0.95,0.3,0.6203,0.8892,0.8746,1.0,190,1.9
1.2921,0.1225,High-Speed Parallel,low,0.9,0.25,0.95,1.0,1.0,0.8826,0.0122,100,1.0
1.6353,0.3701,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.9985,0.6555,0.265,0.0434,100,1.0
1.0983,0.6972,Interleaved Mini-Batch,medium,0.55,0.65,0.6,1.0,1.0,1.0,0.1997,100,1.0
1.0945,0.3762,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.7699,0.4491,0.5815,0.0543,100,1.0
1.0363,0.4171,Interleaved Mini-Batch,medium,0.55,0.65,0.6,0.8855,0.5063,0.2872,0.1196,100,1.0
